CUDA Device Number: 0
Queried Chip : GA102 
Total metrics on the chip 6780
Metric Name                                                                     	Num of Passes  	Collection Method
dram__bytes.avg                                                                 	1              	HW             
dram__bytes.max                                                                 	1              	HW             
dram__bytes.min                                                                 	1              	HW             
dram__bytes.sum                                                                 	1              	HW             
dram__bytes_read.avg                                                            	1              	HW             
dram__bytes_read.max                                                            	1              	HW             
dram__bytes_read.min                                                            	1              	HW             
dram__bytes_read.sum                                                            	1              	HW             
dram__bytes_write.avg                                                           	1              	HW             
dram__bytes_write.max                                                           	1              	HW             
dram__bytes_write.min                                                           	1              	HW             
dram__bytes_write.sum                                                           	1              	HW             
dram__cycles_active.avg                                                         	1              	HW             
dram__cycles_active.max                                                         	1              	HW             
dram__cycles_active.min                                                         	1              	HW             
dram__cycles_active.sum                                                         	1              	HW             
dram__cycles_active_read.avg                                                    	1              	HW             
dram__cycles_active_read.max                                                    	1              	HW             
dram__cycles_active_read.min                                                    	1              	HW             
dram__cycles_active_read.sum                                                    	1              	HW             
dram__cycles_active_write.avg                                                   	1              	HW             
dram__cycles_active_write.max                                                   	1              	HW             
dram__cycles_active_write.min                                                   	1              	HW             
dram__cycles_active_write.sum                                                   	1              	HW             
dram__cycles_elapsed.avg                                                        	1              	HW             
dram__cycles_elapsed.max                                                        	1              	HW             
dram__cycles_elapsed.min                                                        	1              	HW             
dram__cycles_elapsed.sum                                                        	1              	HW             
dram__cycles_in_frame.avg                                                       	1              	HW             
dram__cycles_in_frame.max                                                       	1              	HW             
dram__cycles_in_frame.min                                                       	1              	HW             
dram__cycles_in_frame.sum                                                       	1              	HW             
dram__cycles_in_region.avg                                                      	1              	HW             
dram__cycles_in_region.max                                                      	1              	HW             
dram__cycles_in_region.min                                                      	1              	HW             
dram__cycles_in_region.sum                                                      	1              	HW             
dram__sectors.avg                                                               	1              	HW             
dram__sectors.max                                                               	1              	HW             
dram__sectors.min                                                               	1              	HW             
dram__sectors.sum                                                               	1              	HW             
dram__sectors_read.avg                                                          	1              	HW             
dram__sectors_read.max                                                          	1              	HW             
dram__sectors_read.min                                                          	1              	HW             
dram__sectors_read.sum                                                          	1              	HW             
dram__sectors_write.avg                                                         	1              	HW             
dram__sectors_write.max                                                         	1              	HW             
dram__sectors_write.min                                                         	1              	HW             
dram__sectors_write.sum                                                         	1              	HW             
